chapter_code|category_code|subcategory_code|title
I|00|-|Rheumatic fever without heart involvement
I|01|0|Acute rheumatic pericarditis
I|01|1|Acute rheumatic endocarditis
I|01|2|Acute rheumatic myocarditis
I|01|8|Other acute rheumatic heart disease
I|01|9|Acute rheumatic heart disease, unspecified
I|02|0|Rheumatic chorea with heart involvement
I|02|9|Rheumatic chorea without heart involvement
I|05|0|Rheumatic mitral stenosis
I|05|1|Rheumatic mitral insufficiency
I|05|2|Rheumatic mitral stenosis with insufficiency
I|05|8|Other rheumatic mitral valve diseases
I|05|9|Rheumatic mitral valve disease, unspecified
I|06|0|Rheumatic aortic stenosis
I|06|1|Rheumatic aortic insufficiency
I|06|2|Rheumatic aortic stenosis with insufficiency
I|06|8|Other rheumatic aortic valve diseases
I|06|9|Rheumatic aortic valve disease, unspecified
I|07|0|Rheumatic tricuspid stenosis
I|07|1|Rheumatic tricuspid insufficiency
I|07|2|Rheumatic tricuspid stenosis and insufficiency
I|07|8|Other rheumatic tricuspid valve diseases
I|07|9|Rheumatic tricuspid valve disease, unspecified
I|08|0|Rheumatic disorders of both mitral and aortic valves
I|08|1|Rheumatic disorders of both mitral and tricuspid valves
I|08|2|Rheumatic disorders of both aortic and tricuspid valves
I|08|3|Combined rheumatic disorders of mitral, aortic and tricuspid valves
I|08|8|Other rheumatic multiple valve diseases
I|08|9|Rheumatic multiple valve disease, unspecified
I|09|0|Rheumatic myocarditis
I|09|1|Rheumatic diseases of endocardium, valve unspecified
I|09|2|Chronic rheumatic pericarditis
I|09|9|Rheumatic heart disease, unspecified
I|10|-|Essential (primary) hypertension
I|11|0|Hypertensive heart disease with heart failure
I|11|9|Hypertensive heart disease without heart failure
I|12|0|Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease
I|12|9|Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease
I|13|0|Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease
I|13|2|Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease
I|15|0|Renovascular hypertension
I|15|1|Hypertension secondary to other renal disorders
I|15|2|Hypertension secondary to endocrine disorders
I|15|8|Other secondary hypertension
I|15|9|Secondary hypertension, unspecified
I|16|0|Hypertensive urgency
I|16|1|Hypertensive emergency
I|16|9|Hypertensive crisis, unspecified
I|1A|0|Resistant hypertension
I|20|0|Unstable angina
I|20|1|Angina pectoris with documented spasm
I|20|2|Refractory angina pectoris
I|20|9|Angina pectoris, unspecified
I|21|3|ST elevation (STEMI) myocardial infarction of unspecified site
I|21|4|Non-ST elevation (NSTEMI) myocardial infarction
I|21|9|Acute myocardial infarction, unspecified
I|21|B|Myocardial infarction with coronary microvascular dysfunction
I|22|0|Subsequent ST elevation (STEMI) myocardial infarction of anterior wall
I|22|1|Subsequent ST elevation (STEMI) myocardial infarction of inferior wall
